date,count
2006-12-01,1078
2006-12-02,948
2006-12-03,658
2006-12-04,867
2006-12-05,1172
2006-12-06,1262
2006-12-07,1174
2006-12-08,1205
2006-12-09,925
2006-12-10,654
2006-12-11,867
2006-12-12,1268
2006-12-13,1114
2006-12-14,1076
2006-12-15,1100
2006-12-16,764
2006-12-17,675
2006-12-18,752
2006-12-19,1155
2006-12-20,1141
2006-12-21,1033
2006-12-22,849
2006-12-23,672
2006-12-24,295
2006-12-25,138
2006-12-26,756
2006-12-27,1116
2006-12-28,1106
2006-12-29,1050
2006-12-30,673
2006-12-31,400
2007-01-01,588
2007-01-02,1186
2007-01-03,1572
2007-01-04,1571
2007-01-05,1526
2007-01-06,1187
2007-01-07,742
2007-01-08,938
2007-01-09,1422
2007-01-10,1463
2007-01-11,1473
2007-01-12,1552
2007-01-13,1282
2007-01-14,814
2007-01-15,988
2007-01-16,1442
2007-01-17,1405
2007-01-18,1593
2007-01-19,1427
2007-01-20,1161
2007-01-21,752
2007-01-22,945
2007-01-23,1401
2007-01-24,1515
2007-01-25,1436
2007-01-26,1172
2007-01-27,1114
2007-01-28,808
2007-01-29,779
2007-01-30,1144
2007-01-31,1275
2007-02-01,1410
2007-02-02,1333
2007-02-03,919
2007-02-04,582
2007-02-05,738
2007-02-06,1221
2007-02-07,1513
2007-02-08,1564
2007-02-09,1399
2007-02-10,1196
2007-02-11,862
2007-02-12,1032
2007-02-13,1374
2007-02-14,623
2007-02-15,1215
2007-02-16,1184
2007-02-17,1131
2007-02-18,745
2007-02-19,889
2007-02-20,1332
2007-02-21,1626
2007-02-22,1357
2007-02-23,1221
2007-02-24,1125
2007-02-25,774
2007-02-26,834
2007-02-27,1524
2007-02-28,1488
2007-03-01,1422
2007-03-02,1299
2007-03-03,1216
2007-03-04,822
2007-03-05,936
2007-03-06,1158
2007-03-07,1330
2007-03-08,1365
2007-03-09,1417
2007-03-10,1187
2007-03-11,740
2007-03-12,1034
2007-03-13,1299
2007-03-14,1555
2007-03-15,1231
2007-03-16,706
2007-03-17,671
2007-03-18,638
2007-03-19,784
2007-03-20,1354
2007-03-21,1435
2007-03-22,1446
2007-03-23,1364
2007-03-24,1096
2007-03-25,799
2007-03-26,991
2007-03-27,1298
2007-03-28,1487
2007-03-29,1330
2007-03-30,1194
2007-03-31,1060
2007-04-01,736
2007-04-02,795
2007-04-03,1299
2007-04-04,1147
2007-04-05,1305
2007-04-06,1306
2007-04-07,969
2007-04-08,445
2007-04-09,853
2007-04-10,1248
2007-04-11,1527
2007-04-12,1174
2007-04-13,1429
2007-04-14,1129
2007-04-15,522
2007-04-16,790
2007-04-17,1366
2007-04-18,1476
2007-04-19,1525
2007-04-20,1377
2007-04-21,1044
2007-04-22,768
2007-04-23,910
2007-04-24,1232
2007-04-25,1450
2007-04-26,1502
2007-04-27,1224
2007-04-28,1061
2007-04-29,748
2007-04-30,936
2007-05-01,1294
2007-05-02,1484
2007-05-03,1501
2007-05-04,1256
2007-05-05,940
2007-05-06,763
2007-05-07,919
2007-05-08,1285
2007-05-09,1554
2007-05-10,1404
2007-05-11,1388
2007-05-12,1037
2007-05-13,609
2007-05-14,959
2007-05-15,1336
2007-05-16,1454
2007-05-17,1498
2007-05-18,1262
2007-05-19,964
2007-05-20,694
2007-05-21,859
2007-05-22,1278
2007-05-23,1469
2007-05-24,1258
2007-05-25,1137
2007-05-26,965
2007-05-27,603
2007-05-28,561
2007-05-29,1300
2007-05-30,1320
2007-05-31,1243
2007-06-01,1296
2007-06-02,1006
2007-06-03,615
2007-06-04,791
2007-06-05,1370
2007-06-06,1453
2007-06-07,1331
2007-06-08,1223
2007-06-09,946
2007-06-10,853
2007-06-11,856
2007-06-12,1158
2007-06-13,1425
2007-06-14,1358
2007-06-15,1247
2007-06-16,928
2007-06-17,576
2007-06-18,928
2007-06-19,1278
2007-06-20,1344
2007-06-21,1447
2007-06-22,1226
2007-06-23,1042
2007-06-24,733
2007-06-25,854
2007-06-26,1243
2007-06-27,1224
2007-06-28,1080
2007-06-29,1055
2007-06-30,920
2007-07-01,689
2007-07-02,885
2007-07-03,1177
2007-07-04,865
2007-07-05,1310
2007-07-06,1299
2007-07-07,988
2007-07-08,652
2007-07-09,835
2007-07-10,1237
2007-07-11,1459
2007-07-12,1383
2007-07-13,1325
2007-07-14,1011
2007-07-15,637
2007-07-16,867
2007-07-17,1233
2007-07-18,1206
2007-07-19,794
2007-07-20,1308
2007-07-21,1057
2007-07-22,725
2007-07-23,745
2007-07-24,1282
2007-07-25,1427
2007-07-26,1326
2007-07-27,1200
2007-07-28,1011
2007-07-29,655
2007-07-30,796
2007-07-31,1281
2007-08-01,1518
2007-08-02,1387
2007-08-03,1340
2007-08-04,1043
2007-08-05,726
2007-08-06,878
2007-08-07,1336
2007-08-08,1255
2007-08-09,1360
2007-08-10,1212
2007-08-11,1091
2007-08-12,782
2007-08-13,853
2007-08-14,1356
2007-08-15,1360
2007-08-16,1378
2007-08-17,1304
2007-08-18,1111
2007-08-19,724
2007-08-20,798
2007-08-21,1129
2007-08-22,1492
2007-08-23,1378
2007-08-24,1312
2007-08-25,1081
2007-08-26,764
2007-08-27,884
2007-08-28,1154
2007-08-29,1318
2007-08-30,1216
2007-08-31,1237
2007-09-01,1076
2007-09-02,722
2007-09-03,572
2007-09-04,1101
2007-09-05,1278
2007-09-06,1341
2007-09-07,1295
2007-09-08,1137
2007-09-09,807
2007-09-10,848
2007-09-11,1172
2007-09-12,1571
2007-09-13,1502
2007-09-14,1410
2007-09-15,1073
2007-09-16,824
2007-09-17,874
2007-09-18,1155
2007-09-19,1470
2007-09-20,1448
2007-09-21,1310
2007-09-22,1031
2007-09-23,837
2007-09-24,797
2007-09-25,1189
2007-09-26,1207
2007-09-27,1224
2007-09-28,1177
2007-09-29,993
2007-09-30,770
2007-10-01,978
2007-10-02,1295
2007-10-03,1605
2007-10-04,1363
2007-10-05,1400
2007-10-06,1076
2007-10-07,766
2007-10-08,664
2007-10-09,1289
2007-10-10,1499
2007-10-11,1384
2007-10-12,1325
2007-10-13,1150
2007-10-14,766
2007-10-15,843
2007-10-16,1363
2007-10-17,1550
2007-10-18,1397
2007-10-19,1186
2007-10-20,1082
2007-10-21,832
2007-10-22,824
2007-10-23,1436
2007-10-24,1211
2007-10-25,1352
2007-10-26,1125
2007-10-27,957
2007-10-28,686
2007-10-29,734
2007-10-30,1090
2007-10-31,879
2007-11-01,1345
2007-11-02,1309
2007-11-03,1095
2007-11-04,713
2007-11-05,780
2007-11-06,976
2007-11-07,1342
2007-11-08,1364
2007-11-09,1206
2007-11-10,1116
2007-11-11,730
2007-11-12,837
2007-11-13,1331
2007-11-14,1391
2007-11-15,1308
2007-11-16,1322
2007-11-17,1053
2007-11-18,703
2007-11-19,756
2007-11-20,1169
2007-11-21,947
2007-11-22,272
2007-11-23,1009
2007-11-24,1012
2007-11-25,674
2007-11-26,703
2007-11-27,1300
2007-11-28,1226
2007-11-29,1269
2007-11-30,1134
2007-12-01,1030
2007-12-02,659
2007-12-03,649
2007-12-04,1132
